Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2026-03-20,703.62,710.74,711.37,702.18,195.33K,-0.53%,195330.0
2026-03-19,707.36,709.91,711.88,704.51,123.68K,-1.27%,123680.0
2026-03-18,716.48,724.7,725.53,715.85,132.07K,-0.76%,132070.0
2026-03-17,721.96,716.56,725.07,715.95,80.25K,0.57%,80250.0
2026-03-16,717.87,715.53,721.96,713.82,67.65K,0.50%,67650.0
2026-03-13,714.33,714.14,722.8,712.65,122.11K,-0.78%,122110.0
2026-03-12,719.97,723.91,725.18,717.35,121.32K,-0.93%,121320.0
2026-03-11,726.75,729.02,731.23,724.3,144.72K,-0.83%,144720.0
2026-03-10,732.8,731.24,733.05,725.59,108.34K,1.56%,108340.0
2026-03-09,721.56,712.46,722.14,711.44,151.10K,-0.44%,151100.0
2026-03-06,724.75,734.29,734.29,720.24,164.00K,-0.94%,164000.0
2026-03-05,731.64,735.7,739.0,730.44,480.73K,-0.77%,480730.0
2026-03-04,737.32,729.6,738.1,728.41,168.39K,1.40%,168390.0
2026-03-03,727.16,730.11,730.5,720.1,317.59K,-1.11%,317590.0
2026-03-02,735.31,726.74,737.23,725.41,189.40K,-0.34%,189400.0
2026-02-27,737.84,740.01,740.94,733.1,188.88K,-0.35%,188880.0
2026-02-26,740.45,744.82,746.68,736.04,77.59K,-0.44%,77590.0
2026-02-25,743.7,739.44,744.03,739.38,114.64K,0.87%,114640.0
2026-02-24,737.26,735.01,738.55,731.43,128.96K,0.43%,128960.00000000001
2026-02-23,734.09,737.38,741.9,731.66,139.93K,-0.64%,139930.0
2026-02-20,738.81,737.99,741.02,733.2,87.14K,0.26%,87140.0
2026-02-19,736.93,739.3,739.92,734.1,158.49K,-0.48%,158490.0
2026-02-18,740.45,736.07,740.97,734.46,79.72K,1.00%,79720.0
2026-02-17,733.15,731.14,734.72,726.82,105.27K,0.00%,105270.0
2026-02-16,733.13,735.22,736.72,732.16,47.06K,-0.33%,47060.0
2026-02-13,735.53,732.35,736.23,728.8,134.16K,-0.15%,134160.0
2026-02-12,736.62,747.17,748.19,735.49,69.11K,-1.09%,69110.0
2026-02-11,744.77,746.03,749.76,741.39,68.21K,-0.32%,68210.0
2026-02-10,747.18,746.91,749.18,745.4,58.46K,0.02%,58460.0
2026-02-09,747.02,743.54,747.21,739.91,308.93K,1.00%,308930.0
2026-02-06,739.64,728.02,739.64,726.68,157.70K,1.06%,157700.0
2026-02-05,731.88,738.68,740.0,727.08,231.01K,-1.00%,231010.0
2026-02-04,739.27,743.58,744.13,738.3,228.53K,-0.55%,228530.0
2026-02-03,743.37,750.31,750.7,742.93,141.18K,-0.61%,141180.0
2026-02-02,747.91,736.76,748.31,736.66,108.41K,0.62%,108410.0
2026-01-30,743.28,740.17,746.67,738.9,255.06K,0.44%,255060.0
