Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2026-03-20,5.72,5.78,5.78,5.71,3.28M,-1.30%,3280000.0
2026-03-19,5.79,5.78,5.81,5.76,1.52M,-1.24%,1520000.0
2026-03-18,5.86,5.91,5.92,5.86,554.45K,-0.97%,554450.0
2026-03-17,5.92,5.92,5.93,5.89,280.55K,-0.08%,280550.0
2026-03-16,5.93,5.93,5.95,5.91,1.40M,-0.25%,1400000.0
2026-03-13,5.94,5.94,5.98,5.92,924.47K,-0.38%,924470.0
2026-03-12,5.96,5.99,6.01,5.95,546.79K,-0.83%,546790.0
2026-03-11,6.01,6.02,6.03,5.99,541.32K,0.21%,541320.0
2026-03-10,6.0,5.99,6.01,5.97,754.73K,1.91%,754730.0
2026-03-09,5.89,5.86,5.89,5.84,1.55M,0.00%,1550000.0
2026-03-06,5.89,5.94,5.95,5.85,3.67M,0.13%,3670000.0
2026-03-05,5.88,5.93,5.97,5.88,1.18M,-0.47%,1180000.0
2026-03-04,5.91,5.84,5.91,5.84,1.69M,1.63%,1690000.0
2026-03-03,5.81,5.95,5.95,5.76,2.61M,-3.45%,2610000.0
2026-03-02,6.02,6.05,6.07,6.01,3.34M,-0.62%,3340000.0
2026-02-27,6.06,6.09,6.09,6.04,1.43M,0.25%,1430000.0
2026-02-26,6.04,6.08,6.08,6.03,1.37M,-0.45%,1370000.0
2026-02-25,6.07,6.04,6.07,6.04,640.59K,0.91%,640590.0
2026-02-24,6.01,6.0,6.02,5.98,1.79M,0.00%,1790000.0
2026-02-23,6.02,6.03,6.04,6.01,375.29K,0.50%,375290.0
2026-02-20,5.99,5.93,5.99,5.92,2.05M,0.08%,2049999.9999999998
2026-02-19,5.98,6.0,6.0,5.96,103.86K,-0.54%,103860.0
2026-02-18,6.01,5.98,6.01,5.98,472.98K,0.71%,472980.0
2026-02-17,5.97,5.97,5.98,5.94,225.40K,-0.29%,225400.0
2026-02-16,5.99,5.99,6.05,5.99,116.13K,0.84%,116130.0
2026-02-13,5.94,5.91,5.94,5.91,189.60K,-0.54%,189600.0
2026-02-12,5.97,6.01,6.01,5.97,536.81K,-0.08%,536810.0
2026-02-11,5.98,6.0,6.0,5.96,1.61M,-0.33%,1610000.0
2026-02-10,6.0,5.99,6.0,5.98,456.80K,-0.08%,456800.0
2026-02-09,6.0,5.97,6.01,5.95,1.30M,1.44%,1300000.0
2026-02-06,5.92,5.86,5.92,5.85,2.95M,0.51%,2950000.0
2026-02-05,5.89,5.89,5.9,5.86,941.81K,-0.63%,941810.0
2026-02-04,5.93,5.94,5.95,5.91,1.40M,0.68%,1400000.0
2026-02-03,5.89,5.88,5.89,5.87,772.28K,0.99%,772280.0
2026-02-02,5.83,5.81,5.84,5.8,926.26K,-1.73%,926260.0
2026-01-30,5.93,5.93,5.94,5.91,1.14M,-0.92%,1140000.0
2026-01-29,5.99,6.03,6.04,5.99,754.67K,0.55%,754670.0
2026-01-28,5.95,5.99,6.0,5.95,453.91K,-0.33%,453910.0
2026-01-27,5.97,5.95,5.97,5.94,3.71M,0.00%,3710000.0
2026-01-26,5.97,5.97,5.98,5.96,727.67K,0.34%,727670.0
2026-01-23,5.95,5.94,5.95,5.93,1.22M,-0.38%,1220000.0
2026-01-22,5.98,5.95,5.98,5.95,13.90M,-0.08%,13900000.0
2026-01-21,5.98,5.95,5.99,5.95,2.15M,0.63%,2150000.0
2026-01-20,5.95,5.95,5.96,5.93,3.73M,-0.54%,3730000.0
2026-01-19,5.98,5.96,5.98,5.96,2.64M,0.72%,2640000.0
2026-01-16,5.93,5.96,5.96,5.93,2.49M,-1.04%,2490000.0
2026-01-15,6.0,5.96,6.0,5.96,3.28M,0.84%,3280000.0
2026-01-14,5.95,5.96,5.96,5.93,3.35M,-0.50%,3350000.0
2026-01-13,5.98,5.96,5.99,5.95,2.39M,-1.08%,2390000.0
2026-01-12,6.04,6.01,6.04,6.01,1.51M,1.09%,1510000.0
2026-01-09,5.98,5.95,5.98,5.95,3.76M,0.97%,3760000.0
2026-01-08,5.92,5.91,5.93,5.91,1.55M,-0.38%,1550000.0
2026-01-07,5.94,5.95,5.96,5.93,1.67M,-0.34%,1670000.0
2026-01-06,5.96,5.97,5.98,5.95,663.68K,1.53%,663680.0
2026-01-05,5.87,5.86,5.87,5.84,956.46K,0.60%,956460.0
2026-01-02,5.84,5.8,5.85,5.8,678.19K,1.19%,678190.0
2025-12-31,5.77,5.75,5.78,5.75,15.03K,-0.32%,15030.0
2025-12-30,5.79,5.8,5.8,5.78,218.18K,0.74%,218180.0
2025-12-29,5.74,5.76,5.76,5.74,467.01K,0.09%,467010.0
2025-12-24,5.74,5.75,5.76,5.74,951.66K,0.44%,951660.0
2025-12-23,5.72,5.74,5.74,5.72,803.23K,0.00%,803230.0
2025-12-22,5.71,5.7,5.71,5.69,958.51K,1.06%,958510.0
2025-12-19,5.65,5.66,5.66,5.64,1.22M,0.27%,1220000.0
2025-12-18,5.64,5.61,5.64,5.61,1.85M,0.27%,1850000.0
2025-12-17,5.62,5.63,5.65,5.62,372.50K,1.40%,372500.0
2025-12-16,5.55,5.55,5.56,5.54,354.78K,-1.03%,354780.0
2025-12-15,5.6,5.6,5.61,5.59,8.61M,-0.18%,8610000.0
2025-12-12,5.61,5.64,5.65,5.61,238.72K,0.00%,238720.0
2025-12-11,5.61,5.59,5.61,5.59,1.55M,-0.13%,1550000.0
2025-12-10,5.62,5.62,5.64,5.62,234.00K,-0.22%,234000.0
2025-12-09,5.64,5.75,5.75,5.61,2.87M,-0.18%,2870000.0
2025-12-08,5.64,5.66,5.66,5.64,630.87K,0.44%,630870.0
2025-12-05,5.62,5.6,5.63,5.6,523.17K,0.85%,523169.99999999994
2025-12-04,5.57,5.57,5.57,5.55,514.94K,0.36%,514940.00000000006
2025-12-03,5.55,5.55,5.56,5.53,500.01K,-0.13%,500010.0
2025-12-02,5.56,5.58,5.58,5.56,673.66K,-1.07%,673660.0
2025-12-01,5.62,5.6,5.63,5.6,732.84K,0.76%,732840.0
2025-11-28,5.58,5.54,5.58,5.54,255.01K,0.95%,255010.0
2025-11-27,5.53,5.52,5.53,5.51,336.91K,0.00%,336910.0
2025-11-26,5.53,5.51,5.53,5.5,533.19K,0.36%,533190.0
2025-11-25,5.51,5.49,5.52,5.49,401.12K,1.24%,401120.0
2025-11-24,5.44,5.42,5.44,5.41,1.32M,0.28%,1320000.0
2025-11-21,5.42,5.4,5.43,5.39,3.19M,-2.47%,3190000.0
2025-11-20,5.56,5.57,5.59,5.55,379.57K,-0.98%,379570.0
2025-11-19,5.61,5.64,5.64,5.57,281.42K,0.45%,281420.0
2025-11-18,5.59,5.57,5.59,5.57,232.68K,-0.36%,232680.0
2025-11-17,5.61,5.61,5.63,5.6,760.22K,-0.93%,760220.0
2025-11-14,5.66,5.65,5.66,5.63,898.25K,-1.22%,898250.0
2025-11-13,5.73,5.8,5.8,5.73,438.60K,0.88%,438600.0
2025-11-12,5.68,5.68,5.68,5.67,107.51K,-0.13%,107510.0
2025-11-11,5.69,5.69,5.7,5.68,298.81K,-0.57%,298810.0
2025-11-10,5.72,5.74,5.75,5.72,239.82K,0.62%,239820.0
2025-11-07,5.69,5.72,5.72,5.67,957.91K,-0.39%,957910.0
2025-11-06,5.71,5.71,5.74,5.71,135.76K,1.11%,135760.0
2025-11-05,5.65,5.63,5.66,5.62,2.28M,0.36%,2280000.0
2025-11-04,5.63,5.63,5.63,5.61,745.43K,-0.84%,745430.0
2025-11-03,5.68,5.68,5.69,5.66,1.32M,0.13%,1320000.0
2025-10-31,5.67,5.67,5.67,5.65,444.83K,-1.78%,444830.0
2025-10-30,5.77,5.76,5.77,5.75,156.74K,-1.07%,156740.0
2025-10-29,5.83,5.8,5.83,5.8,836.31K,1.21%,836310.0
2025-10-28,5.76,5.74,5.76,5.74,877.79K,-0.17%,877790.0
2025-10-27,5.77,5.74,5.77,5.74,358.65K,1.54%,358650.0
2025-10-24,5.68,5.67,5.69,5.66,1.25M,1.20%,1250000.0
2025-10-23,5.62,5.6,5.63,5.59,620.11K,0.81%,620110.0
