Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-31 00:00:00+02:00,124.59599304199219,124.59599304199219,124.59599304199219,124.59599304199219,0,0.0,0.0
2010-09-01 00:00:00+02:00,124.64498138427734,124.64498138427734,124.64498138427734,124.64498138427734,0,0.0,0.0
2010-09-02 00:00:00+02:00,124.8439712524414,124.8439712524414,124.8439712524414,124.8439712524414,0,0.0,0.0
2010-09-03 00:00:00+02:00,124.04300689697266,124.04300689697266,124.04300689697266,124.04300689697266,0,0.0,0.0
2010-09-06 00:00:00+02:00,124.88993835449219,124.88993835449219,124.88993835449219,124.88993835449219,0,0.0,0.0
2010-09-07 00:00:00+02:00,125.66385650634766,125.66385650634766,125.66385650634766,125.66385650634766,0,0.0,0.0
2010-09-08 00:00:00+02:00,125.66385650634766,125.66385650634766,125.66385650634766,125.66385650634766,0,0.0,0.0
2010-09-09 00:00:00+02:00,125.48686218261719,125.48686218261719,125.48686218261719,125.48686218261719,0,0.0,0.0
2010-09-10 00:00:00+02:00,124.63594055175781,124.63594055175781,124.63594055175781,124.63594055175781,0,0.0,0.0
2010-09-13 00:00:00+02:00,124.35797119140625,124.35797119140625,124.35797119140625,124.35797119140625,0,0.0,0.0
2010-09-14 00:00:00+02:00,126.53164672851562,126.53164672851562,126.53164672851562,126.53164672851562,0,0.0,0.0
2010-09-15 00:00:00+02:00,126.68061065673828,126.68061065673828,126.68061065673828,126.68061065673828,0,0.0,0.0
2010-09-16 00:00:00+02:00,127.22949981689453,127.22949981689453,127.22949981689453,127.22949981689453,0,0.0,0.0
2010-09-17 00:00:00+02:00,127.37844848632812,127.37844848632812,127.37844848632812,127.37844848632812,0,0.0,0.0
2010-09-20 00:00:00+02:00,127.9002685546875,127.9002685546875,127.9002685546875,127.9002685546875,0,0.0,0.0
2010-09-21 00:00:00+02:00,127.47432708740234,127.47432708740234,127.47432708740234,127.47432708740234,0,0.0,0.0
2010-09-22 00:00:00+02:00,129.32290649414062,129.32290649414062,129.32290649414062,129.32290649414062,0,0.0,0.0
2010-09-23 00:00:00+02:00,129.04693603515625,129.04693603515625,129.04693603515625,129.04693603515625,0,0.0,0.0
2010-09-24 00:00:00+02:00,129.67074584960938,129.67074584960938,129.67074584960938,129.67074584960938,0,0.0,0.0
2010-09-27 00:00:00+02:00,129.6676025390625,129.6676025390625,129.6676025390625,129.6676025390625,0,0.0,0.0
2010-09-28 00:00:00+02:00,129.3666534423828,129.3666534423828,129.3666534423828,129.3666534423828,0,0.0,0.0
2010-09-29 00:00:00+02:00,130.7152557373047,130.7152557373047,130.7152557373047,130.7152557373047,0,0.0,0.0
2010-09-30 00:00:00+02:00,130.66421508789062,130.66421508789062,130.66421508789062,130.66421508789062,0,0.0,0.0
2010-10-01 00:00:00+02:00,131.587890625,131.587890625,131.587890625,131.587890625,0,0.0,0.0
2010-10-04 00:00:00+02:00,131.30979919433594,131.30979919433594,131.30979919433594,131.30979919433594,0,0.0,0.0
2010-10-05 00:00:00+02:00,133.00820922851562,133.00820922851562,133.00820922851562,133.00820922851562,0,0.0,0.0
2010-10-06 00:00:00+02:00,134.6066131591797,134.6066131591797,134.6066131591797,134.6066131591797,0,0.0,0.0
2010-10-07 00:00:00+02:00,134.45558166503906,134.45558166503906,134.45558166503906,134.45558166503906,0,0.0,0.0
2010-10-08 00:00:00+02:00,134.1046142578125,134.1046142578125,134.1046142578125,134.1046142578125,0,0.0,0.0
2010-10-11 00:00:00+02:00,135.10101318359375,135.10101318359375,135.10101318359375,135.10101318359375,0,0.0,0.0
2010-10-12 00:00:00+02:00,134.80003356933594,134.80003356933594,134.80003356933594,134.80003356933594,0,0.0,0.0
2010-10-13 00:00:00+02:00,136.49830627441406,136.49830627441406,136.49830627441406,136.49830627441406,0,0.0,0.0
2010-10-14 00:00:00+02:00,137.27191162109375,137.27191162109375,137.27191162109375,137.27191162109375,0,0.0,0.0
2010-10-15 00:00:00+02:00,136.69602966308594,136.69602966308594,136.69602966308594,136.69602966308594,0,0.0,0.0
2010-10-18 00:00:00+02:00,133.84176635742188,133.84176635742188,133.84176635742188,133.84176635742188,0,0.0,0.0
2010-10-19 00:00:00+02:00,134.29049682617188,134.29049682617188,134.29049682617188,134.29049682617188,0,0.0,0.0
2010-10-20 00:00:00+02:00,132.1903533935547,132.1903533935547,132.1903533935547,132.1903533935547,0,0.0,0.0
2010-10-21 00:00:00+02:00,133.6864471435547,133.6864471435547,133.6864471435547,133.6864471435547,0,0.0,0.0
2010-10-22 00:00:00+02:00,132.88575744628906,132.88575744628906,132.88575744628906,132.88575744628906,0,0.0,0.0
2010-10-25 00:00:00+02:00,133.6864471435547,133.6864471435547,133.6864471435547,133.6864471435547,0,0.0,0.0
2010-10-26 00:00:00+02:00,132.88575744628906,132.88575744628906,132.88575744628906,132.88575744628906,0,0.0,0.0
2010-10-27 00:00:00+02:00,132.3849334716797,132.3849334716797,132.3849334716797,132.3849334716797,0,0.0,0.0
2010-10-28 00:00:00+02:00,133.28341674804688,133.28341674804688,133.28341674804688,133.28341674804688,0,0.0,0.0
2010-10-29 00:00:00+02:00,134.60667419433594,134.60667419433594,134.60667419433594,134.60667419433594,0,0.0,0.0
2010-11-01 00:00:00+01:00,135.3780059814453,135.3780059814453,135.3780059814453,135.3780059814453,0,0.0,0.0
2010-11-02 00:00:00+01:00,135.027099609375,135.027099609375,135.027099609375,135.027099609375,0,0.0,0.0
2010-11-03 00:00:00+01:00,134.476318359375,134.476318359375,134.476318359375,134.476318359375,0,0.0,0.0
2010-11-04 00:00:00+01:00,138.02325439453125,138.02325439453125,138.02325439453125,138.02325439453125,0,0.0,0.0
2010-11-05 00:00:00+01:00,139.47132873535156,139.47132873535156,139.47132873535156,139.47132873535156,0,0.0,0.0
2010-11-08 00:00:00+01:00,138.76837158203125,138.76837158203125,138.76837158203125,138.76837158203125,0,0.0,0.0
2010-11-09 00:00:00+01:00,142.01531982421875,142.01531982421875,142.01531982421875,142.01531982421875,0,0.0,0.0
2010-11-10 00:00:00+01:00,138.9660186767578,138.9660186767578,138.9660186767578,138.9660186767578,0,0.0,0.0
2010-11-11 00:00:00+01:00,139.764404296875,139.764404296875,139.764404296875,139.764404296875,0,0.0,0.0
2010-11-12 00:00:00+01:00,101.37999725341797,101.44999694824219,100.29000091552734,100.37000274658203,70,0.0,0.0
2010-11-15 00:00:00+01:00,100.0,102.0,99.86000061035156,100.8499984741211,59153,0.0,0.0
2010-11-16 00:00:00+01:00,100.01000213623047,100.19999694824219,98.69000244140625,98.69000244140625,30738,0.0,0.0
